SSW-000,00_导览总纲·入口指引,00_开篇语.md,体系宣言与架构总览,全体系入口
SSW-054,05_技能系列·能力延伸,00_导览与索引.md,技能系列导览+P0/P1/P2分级,导览
SSW-055,05_技能系列·能力延伸/01_五维决策体系,01_实际Skill/SKILL.md,五维决策核心入口,Skill
SSW-056,05_技能系列·能力延伸/01_五维决策体系,01_实际Skill/references/decision-framework.md,五维决策详细手册,参考资料
SSW-057,05_技能系列·能力延伸/01_五维决策体系,01_实际Skill/references/case-matching.md,12类型冲突匹配指南,参考资料
SSW-058,05_技能系列·能力延伸/01_五维决策体系,01_实际Skill/references/self-check.md,五维自检表,参考资料
SSW-059,05_技能系列·能力延伸/01_五维决策体系,01_实际Skill/scripts/decision-assistant.py,交互式决策脚本,脚本工具
SSW-060,05_技能系列·能力延伸/01_五维决策体系,01_实际Skill/assets/templates/decision-journal.md,决策日记模板,模板资产
SSW-061,05_技能系列·能力延伸/01_五维决策体系,01_实际Skill/dist/five-dimensional-decision.skill,打包产物,交付物
SSW-062,05_技能系列·能力延伸/02_蓝军批判性验证,01_实际Skill/SKILL.md,蓝军验证核心入口,Skill
SSW-063,05_技能系列·能力延伸/02_蓝军批判性验证,01_实际Skill/references/audit-manual.md,详细审计流程,参考资料
SSW-064,05_技能系列·能力延伸/02_蓝军批判性验证,01_实际Skill/references/cognitive-audit.md,10项认知审计检查表,参考资料
SSW-065,05_技能系列·能力延伸/02_蓝军批判性验证,01_实际Skill/scripts/audit-checker.py,交互式审计脚本,脚本工具
SSW-066,05_技能系列·能力延伸/02_蓝军批判性验证,01_实际Skill/assets/templates/audit-report.md,审计报告模板,模板资产
SSW-067,05_技能系列·能力延伸/02_蓝军批判性验证,01_实际Skill/dist/blue-team-verification.skill,打包产物,交付物
SSW-068,05_技能系列·能力延伸/03_满意解执行系统,01_实际Skill/SKILL.md,执行系统核心入口,Skill
SSW-069,05_技能系列·能力延伸/03_满意解执行系统,01_实际Skill/references/execution-manual.md,详细执行流程,参考资料
SSW-070,05_技能系列·能力延伸/03_满意解执行系统,01_实际Skill/references/heartbeat-protocol.md,心跳检查协议,参考资料
SSW-071,05_技能系列·能力延伸/03_满意解执行系统,01_实际Skill/scripts/progress-tracker.py,进度追踪脚本,脚本工具
SSW-072,05_技能系列·能力延伸/03_满意解执行系统,01_实际Skill/assets/templates/project-template.md,项目启动模板,模板资产
SSW-073,05_技能系列·能力延伸/03_满意解执行系统,01_实际Skill/dist/satisfaction-execution.skill,打包产物,交付物
SSW-074,99_附录·底层根基,设计理念溯源.md,从54天到70年的演化脉络,附录
SSW-075,99_附录·底层根基,满意姐54天实践纪.md,5次失败的具体过程与教训,附录
SSW-076,99_附录·底层根基,梁主席70年积累启示.md,静水流深+深研静流+五组件,附录
SSW-077,99_附录·底层根基,五维决策体系融合.md,土金水木火×双三角融合,附录
SSW-078,技能发掘全景报告,技能发掘全景报告.md,12个技能盘点+P0/P1/P2分级,全景报告
